Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
12916,861,678,105,0,824,678,105,0
12917,568,443,20,0,489,443,20,0
12918,1091,916,115,0,1037,916,115,0
12919,1287,965,183,23,1237,965,183,23
12920,1148,939,106,21,1110,939,106,21
12921,1028,870,56,9,1002,870,56,9
12922,15,14,0,0,14,14,0,0
12923,280,168,56,7,239,168,56,7
12924,60,27,20,0,60,27,20,0
12926,786,604,83,8,725,604,83,8
12927,49,49,0,0,49,49,0,0
12928,828,693,96,13,821,693,96,13
12929,409,350,10,8,395,350,10,8
12930,381,257,83,0,353,257,83,0
12932,593,474,23,0,543,474,23,0
12933,0,0,0,0,0,0,0,0
12934,529,346,105,10,467,346,105,10
12935,464,323,97,0,424,323,97,0
12936,285,250,8,0,267,250,8,0
12937,654,530,69,17,625,530,69,17
12939,99,71,4,0,89,71,4,0
12941,478,388,32,0,436,388,32,0
12942,294,161,50,19,261,161,50,19
12943,155,110,0,0,125,110,0,0
12944,1801,1386,199,16,1719,1386,199,16
12945,263,195,49,0,244,195,49,0
12946,3037,2194,91,0,2885,2194,91,0
12950,325,244,32,0,303,244,32,0
12952,147,117,30,0,147,117,30,0
12953,4877,3769,609,80,4758,3769,609,80
12955,134,119,9,4,132,119,9,4
12956,487,419,68,0,487,419,68,0
12957,664,558,35,0,616,558,35,0
12958,953,839,82,16,953,839,82,16
12959,531,423,87,0,531,423,87,0
12960,362,327,20,0,352,327,20,0
12961,58,58,0,0,58,58,0,0
12962,3352,2947,209,0,3225,2947,209,0
12964,90,53,19,0,90,53,19,0
12965,152,108,22,0,141,108,22,0
12966,1529,1140,144,17,1345,1140,144,17
12967,407,337,50,0,401,337,50,0
12969,131,110,18,3,131,110,18,3
12970,321,142,9,12,269,142,9,12
12972,2982,2287,345,0,2882,2287,345,0
12973,62,45,2,0,47,45,2,0
12974,791,550,123,11,750,550,123,11
12975,125,103,12,0,115,103,12,0
12976,46,45,0,0,45,45,0,0
12977,0,0,0,0,0,0,0,0
12978,163,135,0,0,163,135,0,0
12979,1128,780,170,16,1062,780,170,16
12980,426,329,86,4,421,329,86,4
